FREQ,Butter_2,Bessel_2,Cheby_2
10.000000000000,-0.000175563000,-0.000443593000,0.001010660000
12.589254120000,-0.000175138000,-0.000599947000,0.001704630000
15.848931920000,-0.000174527000,-0.000847763000,0.002804490000
19.952623150000,-0.000173712000,-0.001240550000,0.004547650000
25.118864320000,-0.000172804000,-0.001863160000,0.007310370000
31.622776600000,-0.000172331000,-0.002850110000,0.011689000000
39.810717060000,-0.000174008000,-0.004414790000,0.018628600000
50.118723360000,-0.000182763000,-0.006895830000,0.029626900000
63.095734450000,-0.000211952000,-0.010830900000,0.047057700000
79.432823470000,-0.000296678000,-0.017075100000,0.074681600000
100.000000000000,-0.000527569000,-0.026989800000,0.118455000000
125.892541200000,-0.001136130000,-0.042749300000,0.187802000000
158.489319200000,-0.002709790000,-0.067839900000,0.297593000000
199.526231500000,-0.006731990000,-0.107883000000,0.471120000000
251.188643200000,-0.016932500000,-0.172018000000,0.744114000000
316.227766000000,-0.042629000000,-0.275237000000,1.167900000000
398.107170600000,-0.106793000000,-0.442368000000,1.798550000000
501.187233600000,-0.264330000000,-0.714596000000,2.599630000000
630.957344500000,-0.637162000000,-1.159020000000,2.969460000000
794.328234700000,-1.453770000000,-1.878370000000,1.168370000000
1000.000000000000,-3.009750000000,-3.008500000000,-3.022100000000
1258.925412000000,-5.456760000000,-4.682260000000,-7.823420000000
1584.893192000000,-8.642220000000,-6.960650000000,-12.484600000000
1995.262315000000,-12.270500000000,-9.791210000000,-16.933800000000
2511.886432000000,-16.113500000000,-13.044200000000,-21.224200000000
3162.277660000000,-20.049600000000,-16.582000000000,-25.409100000000
3981.071706000000,-24.024100000000,-20.298900000000,-29.526300000000
5011.872336000000,-28.014200000000,-24.125400000000,-33.600600000000
6309.573445000000,-32.010500000000,-28.018400000000,-37.647800000000
7943.282347000000,-36.009400000000,-31.952300000000,-41.678300000000
10000.000000000000,-40.009700000000,-35.911500000000,-45.698500000000
12589.254120000000,-44.010700000000,-39.886800000000,-49.712900000000
15848.931920000000,-48.012700000000,-43.872500000000,-53.724300000000
19952.623150000000,-52.016000000000,-47.865500000000,-57.735300000000
25118.864320000000,-56.021100000000,-51.864100000000,-61.747600000000
31622.776600000000,-60.028800000000,-55.868100000000,-65.761700000000
39810.717060000000,-64.039900000000,-59.877800000000,-69.771400000000
50118.723360000000,-68.052400000000,-63.893900000000,-73.743200000000
63095.734450000000,-72.052300000000,-67.913300000000,-77.534200000000
79432.823470000000,-75.972800000000,-71.914600000000,-80.664100000000
100000.000000000000,-79.556900000000,-75.798100000000,-82.191300000000
